date,operation,amount,symbol,fiat_value,currency
2025-01-11 14:06:10,BUY,1.00000000,AAPL,170.00,USD
2025-01-11 15:52:55,BUY,2.00000000,GOOGL,280.00,USD
2025-01-12 08:49:22,BUY,1.00000000,AAPL,680.00,PLN
2025-01-14 14:54:44,BUY,1.00000000,AMZN,760.00,PLN
2025-01-14 15:11:57,BUY,0.50000000,META,1000.00,PLN
2025-01-14 15:11:57,BUY,2.50000000,META,1250.00,USD
2025-01-14 15:13:02,BUY,0.50000000,AMZN,380.00,PLN
2025-01-17 11:47:33,SELL,1.00000000,GOOGL,1400.00,PLN
2025-01-18 09:00:00,DIVIDEND,,AMZN,2.08,PLN
2025-01-19 16:02:20,SELL,0.50000000,GOOGL,700.00,PLN
2025-01-22 12:50:00,BUY,2.00000000,AAPL,340.00,USD
2025-01-23 17:14:17,BUY,1.00000000,GOOGL,1350.00,PLN
2025-01-25 10:01:44,SELL,0.50000000,META,1200.00,PLN
2025-01-26 08:44:36,SELL,1.00000000,META,2450.00,PLN
2025-01-26 09:01:01,SELL,0.50000000,AMZN,400.00,PLN
2025-01-26 09:16:36,SELL,0.50000000,GOOGL,750.00,PLN
2025-01-29 09:00:00,STOCK SPLIT,20,META,,,
2025-02-01 09:00:00,SERVICE FEE,,,1.00,USD
